id,categoria,pergunta,resposta,palavras_chave,ativo
1,funcionamento,Qual é o horário de funcionamento?,"Funcionamos de terça a domingo, das 18h às 23h. Às segundas fechamos para descanso da equipe. Último pedido aceito às 22h30.","horário, funciona, aberto, fechado, quando abre, quando fecha, segunda, funcionamento",true
2,funcionamento,Vocês funcionam em feriados?,"Em feriados nacionais abrimos com horário reduzido, das 19h às 22h. Acompanhe nosso Instagram @sakuradeliv para avisos de datas especiais como Natal e Ano Novo.","feriado, natal, ano novo, carnaval, páscoa, funcionamento, domingo",true
3,funcionamento,Vocês abrem no almoço?,"Por enquanto somos somente delivery noturno. Funcionamos a partir das 18h. Se quiser um alerta quando abrirmos no almoço, me diz que anoto!","almoço, meio dia, tarde, 12h, 13h, 14h, abertura",true
4,entrega,Qual é o tempo médio de entrega?,"O tempo médio é de 45 a 60 minutos após a confirmação do pedido. Nas sextas e sábados pode chegar a 70 minutos. Você recebe uma mensagem quando o pedido sair para entrega!","demora, tempo, quanto tempo, prazo, entrega, espera",true
5,entrega,Qual é a taxa de entrega?,"A taxa varia por bairro. Pedidos acima de R$80 têm frete grátis! Me diga seu bairro que informo o valor exato.","frete, taxa, entrega grátis, custo, valor entrega, delivery",true
6,entrega,Vocês entregam no meu bairro?,"Atendemos os bairros da região. Me diga onde você está que confirmo a disponibilidade e a taxa de entrega para você!","bairro, entrega, região, área, zona, CEP, endereço",true
7,entrega,Posso agendar um horário de entrega?,"No momento não fazemos agendamento de entrega — os pedidos são entregues na ordem de chegada. O prazo médio é de 45 a 60 minutos após o pedido confirmado.","agendar, horário, programar, agendar entrega",true
8,pedido,Qual é o pedido mínimo?,"Nosso pedido mínimo é de R$35,00.","mínimo, pedido mínimo, valor mínimo, mínimo do pedido",true
9,pedido,Como faço um pedido?,"É fácil! É só me dizer o que você quer do cardápio, seu endereço e a forma de pagamento. Posso te enviar o cardápio completo agora se quiser!","fazer pedido, como pedir, quero pedir, pedido, começar",true
10,pedido,Posso fazer pedido para retirada no local?,"Sim! Temos retirada no balcão. Informe que vai retirar na hora do pedido — o tempo de preparo é de 25 a 35 minutos. Nosso endereço: Rua [PREENCHER].","retirar, buscar, retirada, balcão, local, presencial",true
11,pedido,Consigo cancelar ou alterar meu pedido?,"Cancelamentos e alterações são aceitos em até 5 minutos após a confirmação. Depois disso o pedido já está em preparo. Me chama rapidinho se precisar!","cancelar, cancelamento, alterar, mudar, trocar, desistir",true
12,pedido,Vocês fazem pedidos para grupos ou eventos?,"Para pedidos corporativos ou eventos acima de R$300 prefiro te conectar com um de nossos atendentes para garantir o melhor atendimento. Posso fazer isso agora?","evento, corporativo, empresa, grupo, festa, aniversário, grande pedido",true
13,pedido,Tem limite de itens por pedido?,"Não há limite de itens! Para pedidos grandes (acima de 50 peças) o prazo pode ser um pouco maior — até 80 minutos. Avisamos assim que confirmar.","limite, quantidade, muito, bastante, muitos itens",true
14,pagamento,Quais formas de pagamento vocês aceitam?,"Aceitamos PIX (chave: [PREENCHER]), cartão de crédito e débito na entrega e dinheiro. Para dinheiro informe se precisa de troco na hora do pedido.","pagamento, pagar, PIX, cartão, dinheiro, crédito, débito, forma de pagamento",true
15,pagamento,Aceita vale refeição ou vale alimentação?,"Ainda não aceitamos VR, Alelo, Ticket, Sodexo ou similares. Aceitamos PIX, cartão de crédito/débito e dinheiro.","vale refeição, VR, alelo, ticket, sodexo, flash, caju, benefício",true
16,pagamento,O PIX é seguro? Qual é a chave?,"Sim, totalmente seguro! Nossa chave PIX é [PREENCHER — CNPJ ou e-mail]. O pagamento é confirmado automaticamente e o pedido entra na fila logo em seguida.","PIX, chave PIX, seguro, transferência",true
17,pagamento,Vocês parcelam no cartão?,"No momento aceitamos cartão apenas à vista na entrega. O entregador leva a maquininha com as bandeiras Visa, Mastercard, Elo e Amex.","parcelar, parcela, crédito, prestação, vezes",true
18,cardapio,Vocês têm cardápio para ver?,"Claro! Temos: Combinados, Temakis, Hot Rolls, Sashimis, Avulsos, Entradas, Sopas, Bebidas e Sobremesas. Qual categoria te interessa ou quer ver tudo?","cardápio, menu, opções, o que tem, o que vocês têm, ver cardápio",true
19,cardapio,Qual o combo mais pedido?,"O campeão é o Combo Misto 16 Peças (R$79,90) — 8 niguiris variados + 8 hot rolls de salmão. Para grupos o Combo Família 30 Peças (R$134,90) é o favorito!","mais pedido, popular, favorito, recomendação, o que pede, campeão",true
